elapsed_s,raw_bass,smoothed_b,scaled_b,mean_history,kick_ratio_needed,drop_ratio_needed,is_kick,is_drop,beat_bpm
3.333,0.50623,1.47006,66,92.60,120.38,166.68,0,0,0.0
3.333,3.10013,2.28510,102,95.15,123.70,171.27,0,0,0.0
3.333,1.29411,1.78960,80,97.15,126.30,174.87,0,0,0.0
3.333,1.25162,1.52061,68,98.85,128.50,177.93,0,0,0.0
3.334,2.26130,1.89095,85,100.97,131.27,181.75,0,0,0.0
3.334,1.31900,1.60497,72,102.33,133.02,184.19,0,0,0.0
3.417,3.48005,2.54251,114,104.03,135.23,187.25,0,0,0.0
3.417,0.70904,1.62578,73,104.33,135.62,187.78,0,0,0.0
3.417,2.65315,2.13946,96,104.05,135.27,187.29,0,0,0.0
3.418,1.71377,1.92662,86,103.95,135.14,187.11,0,0,0.0
3.418,1.35083,1.63873,73,102.17,132.83,183.91,0,0,0.0
3.419,2.03455,1.83664,82,101.53,131.98,182.75,0,0,0.0
3.419,1.54047,1.68856,75,99.60,129.48,179.28,0,0,0.0
3.503,2.69255,2.19055,98,99.88,129.84,179.78,0,0,0.0
3.504,0.75716,1.47386,66,97.45,126.69,175.41,0,0,0.0
3.504,2.34362,1.90874,85,97.15,126.30,174.87,0,0,0.0
3.504,1.20430,1.55652,70,95.20,123.76,171.36,0,0,0.0
3.504,1.86085,1.70868,76,93.85,122.00,168.93,0,0,0.0
3.504,1.72366,1.71617,77,92.03,119.63,165.65,0,0,0.0
3.505,1.12536,1.42077,63,90.30,117.39,162.54,0,0,0.0
3.587,2.89623,2.15850,97,90.15,117.20,162.27,0,0,0.0
3.588,0.81701,1.48775,66,88.15,114.60,158.67,0,0,0.0
3.588,2.53589,2.01182,90,88.08,114.50,158.53,0,0,0.0
3.588,0.99907,1.50544,67,86.67,112.68,156.01,0,0,0.0
3.588,2.46348,1.98446,89,86.83,112.87,156.28,0,0,0.0
3.588,2.01083,1.99764,89,85.67,111.38,154.22,0,0,0.0
3.588,1.08529,1.54147,69,84.83,110.27,152.69,0,0,0.0
3.589,2.61685,2.07916,93,84.75,110.17,152.55,0,0,0.0
3.674,1.34166,1.71041,76,84.28,109.56,151.70,0,0,0.0
3.674,2.56315,2.13678,96,85.15,110.70,153.27,0,0,0.0
